Group		MI Ensemble	Plurality Ensemble	Ensemble Classification Error	FNR	FPR
Coupled + prot att	All	(.1533, .1641)	(.1231, .1320)	0.1614	0.2759	0.124
	Black	(.3060, .3455)	(.2906, .3292)	0.0858	0.369	0.0475
	White	(.3843, .3983)	(.3847, .3998)	0.1702	0.2675	0.136
	Female	(.2893, .3110)	(.2816, .3032)	0.079	0.3986	0.0381
	Male	(.4139, .4277)	(.4134, .4295)	0.2012	0.2542	0.1775
						
Coupled	All	(.1504, .1613)	(.1221, .1326)	0.1589	0.2691	0.1589
	Black	(.3106, .3493)	(.2936, .3441)	0.0886	0.3155	0.0579
	White	(.3852, .3987)	(.3829, .3981)	0.1681	0.266	0.1337
	Female	(.2917, .3144)	(.2848, .3061)	0.0792	0.3662	0.0425
	Male	(.4107, .4261)	(.4127, .4269)	0.1975	0.252	0.173
						
Decoupled	All - race	(.1528, .1635)	(.1253, .1344)	0.161	0.2612	0.125
	All - sex	(.1517, .1617)	(.1234, .1325)	0.1592	0.2951	0.1149
	Black	(.0776, .1057)	(.0405, .0534)	0.0964	0.2712	0.125
	White	(.1496, .1705)	(.1340, .1426)	0.168	0.2681	0.1329
	Female	(.0764, .0897)	(.0427, .0517)	0.0869	0.3375	0.0549
	Male	(.1615, .1732)	(.1340, .1426)	0.1941	0.2876	0.1522